unique_id,field,nircam_dr5_id,ra,dec,z_spec,z_flag,muv,muv_err_u,muv_err_l,C4_1549_flux,C4_1549_error,C4_1549_snr,C4_1549_detected,C4_1549_upper3sigma,C4_1549_source,C3_1907_flux,C3_1907_error,C3_1907_snr,C3_1907_detected,C3_1907_upper3sigma,C3_1907_source,O2_3727_flux,O2_3727_error,O2_3727_snr,O2_3727_detected,O2_3727_upper3sigma,O2_3727_source,Ne3_3869_flux,Ne3_3869_error,Ne3_3869_snr,Ne3_3869_detected,Ne3_3869_upper3sigma,Ne3_3869_source,O3_4363_flux,O3_4363_error,O3_4363_snr,O3_4363_detected,O3_4363_upper3sigma,O3_4363_source,HBaB_4861_flux,HBaB_4861_error,HBaB_4861_snr,HBaB_4861_detected,HBaB_4861_upper3sigma,HBaB_4861_source,O3_5007_flux,O3_5007_error,O3_5007_snr,O3_5007_detected,O3_5007_upper3sigma,O3_5007_source,HBaA_6563_flux,HBaA_6563_error,HBaA_6563_snr,HBaA_6563_detected,HBaA_6563_upper3sigma,HBaA_6563_source,N2_6584_flux,N2_6584_error,N2_6584_snr,N2_6584_detected,N2_6584_upper3sigma,N2_6584_source
goods-n-mediumjwst_68797,GN,1068797,189.22913706485062,62.14618980665186,5.041260808157533,A,-19.514430779884055,0.0639879498102367,0.06799656555812206,511.17047674069863,388.1963982127437,1.4551484265865973,0,1164.5891946382312,R1000_3pix,153.2096764244421,20.42192710774185,7.564651003411302,1,61.26578132322555,R1000_3pix,572.9788408651413,12.377360704982605,45.474914564471604,1,37.13208211494781,R1000_3pix,242.0530381914365,9.647139887639943,25.371658412746214,1,28.941419662919827,R1000_3pix,134.37978475088053,9.134745125959165,14.975274078348368,1,27.404235377877498,R1000_3pix,434.52050564314516,9.983635453321932,43.0048329994225,1,29.9509063599658,R1000_3pix,2907.747201139734,16.955214365342414,173.53154558625795,1,50.86564309602724,R1000_3pix,7891.402804743952,28.74041249755463,285.577248437537,1,86.22123749266389,R1000_3pix,3103.287321204808,21.438937098898414,149.83440966294347,1,64.31681129669525,R1000_3pix
goods-s-mediumjwst_68806,GS,68806,53.0948136,-27.8524339,3.15811,D,-17.208184537615224,0.4485099059212203,0.777806175727072,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-n-mediumjwst_68824,GN,1068824,189.21924739186505,62.14625602057628,5.260429130703651,A,-16.76770079911907,0.7628774364074573,nan,49.71178410362883,28.45142049353738,1.8766058530581928,0,85.35426148061214,R1000_3pix,9.293900147667728,9.998649153283305,1.329932538580122,0,29.995947459849916,R1000_3pix,20.318200372703973,10.581181151948082,1.9613702945588785,0,31.743543455844247,R1000_3pix,371.9848287750092,17.370323860964938,21.383936627220617,1,52.11097158289481,R1000_3pix,43.47391451068582,13.484769621471393,3.2535824193362792,1,40.45430886441418,R1000_3pix,49.654864401864465,10.681594055814083,4.701516006458495,1,32.04478216744225,R1000_3pix,282.633112953665,13.534250588491085,20.505706692340343,1,40.60275176547326,R1000_3pix,165.45678500304976,9.316265836242978,17.878890283201862,1,27.948797508728937,R1000_3pix,8.483136810182062,5.338792711712007,1.7029281729355048,0,16.016378135136023,R1000_3pix
goods-n-mediumjwst_68837,GN,1068837,189.28692369274353,62.1464063164265,1.08589,D,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-s-deepjwst_68846,GS,68846,53.1118777,-27.8523453,2.6761866224109765,A,nan,nan,nan,nan,nan,nan,0,nan,none,186.04443012541608,394.9503697666633,1.2986113162556816,0,1184.85110929999,R1000_3pix,43.71878464347927,9.76953530672874,4.6258681269177915,1,29.308605920186217,R1000_3pix,8.797168011548647,6.17457580892172,1.6037462553126185,0,18.52372742676516,R1000_3pix,8.146338461274341,6.928674408315898,1.4649151011868122,0,20.786023224947694,R1000_3pix,19.57163484930032,7.620470091645649,2.6991503563138814,0,22.861410274936947,R1000_3pix,77.97741321482398,9.0011871684229,8.476661993090858,1,27.0035615052687,R1000_3pix,122.29793862311716,8.53316113137419,14.290213881555974,1,25.59948339412257,R1000_3pix,19.70245207900045,6.06485685785581,3.2046344822238244,1,18.194570573567432,R1000_3pix
goods-n-mediumjwst_68913,GN,1068913,189.21073390402026,62.147085157134924,5.03954,C,-18.50837776014992,0.16883111107325988,0.20000622961333292,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-n-mediumhst_69250,GN,1211513,189.03994,62.30599,-1.0,E,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-s-mediumjwst_69251,GS,69251,53.1163574,-27.8520211,2.698496364480665,A,nan,nan,nan,nan,nan,nan,0,nan,none,193.79539080995352,245.4147846496539,1.3313890562278021,0,736.2443539489617,R1000_3pix,559.6773415661429,24.711883306896397,22.542301143642227,1,74.13564992068919,R1000_3pix,87.98695829863338,18.242079736096724,4.804280957525763,1,54.72623920829017,R1000_3pix,9.51258098993587,8.86787284858994,1.4410769303314235,0,26.60361854576982,R1000_3pix,200.44624433328536,18.8813543346446,10.920637588154646,1,56.644063003933795,R1000_3pix,797.1548410832288,22.252027608987262,36.34602920539401,1,66.75608282696179,R1000_3pix,617.3961056359267,15.895684636826047,41.49738515578764,1,47.68705391047814,R1000_3pix,58.148922922594515,9.057069279529559,6.589708014595478,1,27.17120783858868,R1000_3pix
goods-s-deepjwst_69252,GS,69252,53.1100134,-27.8520929,-1.0,E,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none
goods-n-mediumjwst_69256,GN,1069256,189.26751097085577,62.149708032874464,1.9913292178861273,A,nan,nan,nan,nan,nan,nan,0,nan,none,nan,nan,nan,0,nan,none,75.84988130254287,17.69549580698999,4.357984768327301,1,53.086487420969966,R1000_3pix,26.320818198208038,14.219462829655187,1.896281425448041,0,42.658388488965564,R1000_3pix,36.68267964743489,18.913026590420028,2.093842407734894,0,56.73907977126008,R1000_3pix,50.42620361991803,13.639127861834977,3.7688661899593416,1,40.91738358550493,R1000_3pix,176.6880107783799,18.3816159129964,9.521527341479178,1,55.1448477389892,R1000_3pix,133.92108357010835,16.65950676954691,8.242788461877609,1,49.978520308640725,R1000_3pix,37.90966548498352,14.899505599260523,2.6336251280128233,0,44.69851679778157,R1000_3pix
