dense_model,diffuse_model,dense_fraction,dense_logn,dense_logu,dense_metallicity,diffuse_logn,diffuse_logu,diffuse_metallicity,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_heii1640,yield_heii4686,yield_nii6583,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731
thermal_dense_skin,thermal_skin_z_0p02,0.31,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9351953768732844,0.7878595517211182,0.00020188567509539596,0.00013966451884167466,3.7881269775552715,0.4401622261643589,0.08248910926250903,5.199755892458109e+41,5.199755892458109e-13,1.7715195156777423e-13,6.710740868604505e-13,7.79755973714322e-14,1.0497562286801684e-16,1.3957085714870785e-13,4.2892323195135214e-14,2.4155210735975338e-17,4.846692974545709e-17
thermal_dense_skin,thermal_skin_z_0p02,0.32,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9357036214804735,0.7867916076974987,0.0002015771147437511,0.00013945105677495054,3.792248862854246,0.44055405432014644,0.08251774721969324,5.132241185333622e+41,5.132241185333621e-13,1.748215026810314e-13,6.629666447446118e-13,7.701832178846874e-14,1.0345423703086005e-16,1.3754809115450127e-13,4.2350098080185854e-14,2.3805135218069827e-17,4.7764510473800004e-17
thermal_dense_skin,thermal_skin_z_0p02,0.33,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9362255994153106,0.7856948066531099,0.00020126032794123616,0.00013923190364910248,3.7964821260223327,0.4409564701031688,0.0825471486863385,5.064726478209136e+41,5.064726478209135e-13,1.7249105379428856e-13,6.548592026287732e-13,7.606104620550528e-14,1.0193285119370327e-16,1.3552532516029472e-13,4.18078729652365e-14,2.3455059700164323e-17,4.7062091202142915e-17
thermal_dense_skin,thermal_skin_z_0p02,0.34,10.0,-1.0,0.2,4.0,-2.0,0.02,2.936761874935629,0.784567962946681,0.00020093498125806284,0.0001390068287973861,3.8008313432144747,0.4413699085246455,0.08257734460857241,4.997211771084648e+41,4.997211771084648e-13,1.7016060490754572e-13,6.467517605129345e-13,7.510377062254181e-14,1.0041146535654648e-16,1.3350255916608815e-13,4.126564785028714e-14,2.3104984182258815e-17,4.635967193048582e-17
thermal_dense_skin,thermal_skin_z_0p02,0.35000000000000003,10.0,-1.0,0.2,4.0,-2.0,0.02,2.937313043639854,0.783409825082832,0.00020060072299848096,0.00013877558891666394,3.8053013447591297,0.4417948287576384,0.08260836762781432,4.929697063960161e+41,4.929697063960161e-13,1.6783015602080288e-13,6.386443183970958e-13,7.414649503957835e-14,9.88900795193897e-17,1.3147979317188157e-13,4.072342273533778e-14,2.2754908664353307e-17,4.565725265882873e-17
thermal_dense_skin,thermal_skin_z_0p02,0.36,10.0,-1.0,0.2,4.0,-2.0,0.02,2.937879734673579,0.7822190710755197,0.00020025718193260203,0.00013853792719008048,3.8098972330537237,0.4422317158381994,0.08264025219847679,4.862182356835675e+41,4.862182356835674e-13,1.6549970713406007e-13,6.305368762812571e-13,7.318921945661488e-14,9.736869368223293e-17,1.2945702717767503e-13,4.0181197620388436e-14,2.2404833146447803e-17,4.495483338717165e-17
thermal_dense_skin,thermal_skin_z_0p02,0.37,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9384626131252394,0.7809943034141587,0.0001999039659210782,0.00013829357233561526,3.8146244019936417,0.4426810825123,0.08267303471561115,4.794667649711188e+41,4.794667649711188e-13,1.6316925824731723e-13,6.224294341654185e-13,7.223194387365142e-14,9.584730784507615e-17,1.2743426118346848e-13,3.963897250543908e-14,2.2054757628542295e-17,4.425241411551456e-17
thermal_dense_skin,thermal_skin_z_0p02,0.38,10.0,-1.0,0.2,4.0,-2.0,0.02,2.93906238263005,0.7797340435921145,0.0001995406604219244,0.0001380422375731022,3.819488558090293,0.44314347124332265,0.0827067536534918,4.727152942586702e+41,4.727152942586702e-13,1.608388093605744e-13,6.143219920495798e-13,7.127466829068795e-14,9.432592200791937e-17,1.254114951892619e-13,3.909674739048972e-14,2.1704682110636788e-17,4.354999484385747e-17
thermal_dense_skin,thermal_skin_z_0p02,0.39,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9396797882036534,0.7784367261525353,0.00019916682686752998,0.00013778361950144636,3.824495743452108,0.44361945639664435,0.08274144971624806,4.6596382354622146e+41,4.659638235462214e-13,1.5850836047383153e-13,6.06214549933741e-13,7.031739270772449e-14,9.280453617076258e-17,1.2338872919505535e-13,3.8554522275540365e-14,2.1354606592731283e-17,4.2847575572200376e-17
thermal_dense_skin,thermal_skin_z_0p02,0.4,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9403156193294633,0.7771006922010996,0.000198782000898501,0.00013751739687679567,3.8296523608230153,0.44410964661980445,0.08277716600178397,4.592123528337729e+41,4.592123528337728e-13,1.561779115870887e-13,5.981071078179024e-13,6.936011712476102e-14,9.128315033360579e-17,1.2136596320084875e-13,3.8012297160591005e-14,2.1004531074825772e-17,4.214515630054329e-17
thermal_dense_skin,thermal_skin_z_0p02,0.41000000000000003,10.0,-1.0,0.2,4.0,-2.0,0.02,2.940970713326603,0.7757241823291631,0.00019838569043937823,0.00013724322928132285,3.8349652008965984,0.4446146874390005,0.08281394818037402,4.524608821213241e+41,4.524608821213241e-13,1.5384746270034585e-13,5.899996657020637e-13,6.840284154179756e-14,8.9761764496449e-17,1.193431972066422e-13,3.747007204564165e-14,2.0654455556920268e-17,4.14427370288862e-17
thermal_dense_skin,thermal_skin_z_0p02,0.42,10.0,-1.0,0.2,4.0,-2.0,0.02,2.941645959028663,0.7743053288838164,0.0001979773735994642,0.00013696075567101718,3.840441472150921,0.44513526409519893,0.08285184468949033,4.457094114088755e+41,4.457094114088755e-13,1.5151701381360304e-13,5.818922235862251e-13,6.744556595883409e-14,8.824037865929224e-17,1.1732043121243565e-13,3.6927846930692306e-14,2.0304380039014763e-17,4.0740317757229116e-17
thermal_dense_skin,thermal_skin_z_0p02,0.43,10.0,-1.0,0.2,4.0,-2.0,0.02,2.942342300807242,0.7728421475134482,0.0001975564963799306,0.00013666959278946158,3.8460888334796675,0.44567210464606516,0.08289090694660972,4.3895794069642684e+41,4.3895794069642683e-13,1.491865649268602e-13,5.737847814703864e-13,6.648829037587063e-14,8.671899282213545e-17,1.152976652182291e-13,3.6385621815742946e-14,1.9954304521109256e-17,4.0037898485572027e-17
thermal_dense_skin,thermal_skin_z_0p02,0.44,10.0,-1.0,0.2,4.0,-2.0,0.02,2.943060742978592,0.7713325279083283,0.00019712247016602258,0.00013636933343293906,3.8519154299301976,0.4462259833632381,0.08293118958196602,4.322064699839781e+41,4.322064699839781e-13,1.4685611604011736e-13,5.656773393545477e-13,6.553101479290717e-14,8.519760698497866e-17,1.1327489922402253e-13,3.5843396700793593e-14,1.9604229003203748e-17,3.933547921391494e-17
